Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,Unknown
Tom Clancy's Splinter Cell: Conviction,PC,2010,Action,Ubisoft,0.0,0.08,0.0,0.02,0.11,Ubisoft Montreal
"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11,Unknown
Kamen Rider: Climax Heroes,PS2,2009,Fighting,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Unknown
Robotics;Notes,PS3,2012,Adventure,5pb,0.0,0.0,0.11,0.0,0.11,Unknown
Disney Channel Collection Vol. 1,GBA,2004,Misc,Unknown,0.08,0.03,0.0,0.0,0.11,Unknown
Total Immersion Racing,PS2,2002,Racing,Empire Interactive,0.05,0.04,0.0,0.01,0.11,Razorworks Studios
The Hardy Boys: The Hidden Theft,Wii,2009,Adventure,The Adventure Company,0.07,0.03,0.0,0.01,0.11,XPEC Entertainment Inc.
Virtual Hydlide,SAT,1995,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11,Unknown
Rango: The Video Game,DS,2011,Action,Electronic Arts,0.07,0.03,0.0,0.01,0.11,Behavior Studios
Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0.0,0.0,0.11,0.0,0.11,Unknown
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0.0,0.0,0.11,Unknown
FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.02,0.0,0.01,0.11,Bugbear
Viewtiful Joe: Double Trouble!,DS,2005,Action,Capcom,0.08,0.0,0.01,0.01,0.11,Unknown
Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.06,0.04,0.0,0.01,0.11,Bandai
Petz Fashion: Dogz & Catz,DS,2009,Simulation,Ubisoft,0.1,0.0,0.0,0.01,0.11,Unknown
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.01,0.11,Artdink
