Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Developer
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,3.2,881.0,Hangar 13
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,0.09,0.07,0.0,0.02,0.19,8.3,7.0,Warthog
Legacy of Kain: Defiance,XB,2003,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,7.9,21.0,Crystal Dynamics
Final Fantasy XI,X360,2006,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19,6.5,33.0,Square Enix
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,0.16,0.01,0.0,0.02,0.19,6.4,22.0,Phoenix Games Studio
Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,3.0,211.0,Ubisoft
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,8.4,30.0,Zono Inc.
Shrek: Forever After,PS3,2010,Platform,Activision,0.16,0.02,0.0,0.02,0.19,4.5,6.0,Xpec
X-Men Origins: Wolverine,PSP,2009,Action,Activision,0.13,0.03,0.0,0.03,0.19,7.5,12.0,Griptonite Games
NHL Hitz Pro,PS2,2003,Sports,Midway Games,0.09,0.07,0.0,0.02,0.19,8.9,13.0,Next Level Games
Space Invaders Extreme 2,DS,2009,Shooter,Square Enix,0.17,0.01,0.0,0.01,0.19,7.1,8.0,Taito Corporation
Need for Speed: The Run,3DS,2011,Action,Electronic Arts,0.09,0.09,0.0,0.02,0.19,6.0,26.0,Firebrand Games
Supreme Commander 2,PC,2010,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19,6.2,803.0,Gas Powered Games
Quantum Theory,PS3,2010,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19,5.3,21.0,Tecmo
Dawn of Discovery,Wii,2009,Simulation,Ubisoft,0.12,0.06,0.0,0.02,0.19,8.5,15.0,Keen Games
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0.0,0.02,0.19,6.1,36.0,"Activision, FreeStyleGames"
Frequency,PS2,2001,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,9.0,29.0,Harmonix Music Systems
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,7.5,42.0,Omega Force
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,9.0,4.0,Software Creations
SpongeBob SquigglePants 3D,3DS,2011,Misc,THQ,0.13,0.05,0.0,0.02,0.19,6.0,8.0,WayForward
Sudeki,XB,2004,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19,8.4,49.0,Climax Group
Majin and the Forsaken Kingdom,X360,2010,Adventure,Namco Bandai Games,0.14,0.03,0.0,0.01,0.19,8.1,24.0,Game Republic
Silent Hill HD Collection,X360,2012,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,5.6,98.0,Konami
Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19,7.8,43.0,"Image Epoch, Imageepoch"
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,8.6,1739.0,Obsidian Entertainment
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01,0.19,4.6,7.0,Konami
MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.17,0.0,0.0,0.02,0.19,7.8,42.0,SCEA San Diego Studios
God Eater Resurrection,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,8.8,17.0,"Shift, Bandai Namco Games"
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,8.6,37.0,Visual Concepts
WWE All Stars,Wii,2011,Fighting,THQ,0.1,0.07,0.0,0.02,0.19,7.0,8.0,THQ
Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,4.4,10.0,Takara Tomy
FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,6.3,19.0,EA Canada
Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0.0,0.01,0.19,7.0,6.0,Griptonite Games
Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0.0,0.0,0.19,7.8,8.0,Magic Rings
Conflict: Global Terror,PS2,2005,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02,0.19,8.5,10.0,Pivotal Games
Dante's Inferno,PSP,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,8.1,46.0,"Artificial Mind and Movement, EA Redwood Shores"
