Name,Year_of_Release,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,is_multiplatform
The Conduit,2009,Wii,Shooter,Sega,High Voltage Software,0.28,0.23,0.0,0.06,0.57,False
The Mysterious Murasame Castle,1986,NES,Action,Nintendo,,0.0,0.0,0.57,0.0,0.57,False
The Smurfs 2,2013,"DS, PS3, Wii, WiiU, X360",Platform,Ubisoft,WayForward,0.09,0.42999999999999994,0.0,0.060000000000000005,0.57,True
3D Dot Game Heroes,2009,PS3,Role-Playing,SouthPeak Games,Silicon Studio,0.36,0.11,0.03,0.07,0.57,False
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,2000,PS,Strategy,Namco Bandai Games,,0.0,0.0,0.54,0.04,0.57,False
Harvest Moon: Sunshine Islands,2008,DS,Simulation,Rising Star Games,,0.35,0.03,0.17,0.03,0.57,False
Beyond The Beyond,1995,PS,Role-Playing,Sony Computer Entertainment,,0.11,0.08,0.35,0.04,0.57,False
Tales of the Abyss,2005,PS2,Role-Playing,Namco Bandai Games,Namco,0.0,0.0,0.57,0.0,0.57,False
Rapala: We Fish,2009,Wii,Sports,Activision,Activision,0.52,0.01,0.0,0.04,0.57,False
Spyro Orange: The Cortex Conspiracy,2004,GBA,Action,Vivendi Games,Vicarious Visions,0.41,0.15,0.0,0.01,0.57,False
Rio,2011,"DS, PS3, Wii, X360",Misc,THQ,Eurocom Entertainment Software,0.33999999999999997,0.16,0.0,0.05,0.57,True
Gravity Rush,2012,PSV,Action,Sony Computer Entertainment,SCE Japan Studio,0.21,0.17,0.09,0.08,0.56,False
Yu-Gi-Oh! Reshef of Destruction,2003,GBA,Strategy,Konami Digital Entertainment,,0.4,0.15,0.0,0.01,0.56,False
Fatal Fury Special,1994,SNES,Fighting,Takara,,0.0,0.0,0.56,0.0,0.56,False
Classic NES Series: Dr. Mario,2004,GBA,Puzzle,Nintendo,Nintendo,0.31,0.11,0.13,0.01,0.56,False
Archer Maclean's Mercury,2005,PSP,Puzzle,Ignition Entertainment,Awesome Studios,0.17,0.24,0.0,0.14,0.56,False
"Monsters, Inc. Scream Team",2001,PS,Platform,Sony Computer Entertainment,Artificial Mind and Movement,0.31,0.21,0.0,0.04,0.56,False
Avatar: The Last Airbender - Into the Inferno,2008,"DS, PS2, Wii",Adventure,THQ,,0.4,0.10999999999999999,0.0,0.05,0.56,True
Mega Man X2,1993,SNES,Platform,Laguna,,0.09,0.02,0.45,0.0,0.56,False
Soldier of Fortune: Gold Edition,2001,PS2,Shooter,Codemasters,Pipe Dream Interactive,0.27,0.21,0.0,0.07,0.56,False
Fullmetal Alchemist and the Broken Angel,2003,PS2,Role-Playing,Square Enix,Racjin,0.15,0.12,0.26,0.04,0.56,False
Yokai Sangokushi,2016,3DS,Action,Level 5,,0.0,0.0,0.56,0.0,0.56,False
NASCAR Rumble,2000,PS,Racing,Electronic Arts,,0.31,0.21,0.0,0.04,0.56,False
Final Fantasy IV: The Complete Collection,2011,PSP,Role-Playing,Square Enix,Bullets,0.13,0.09,0.27,0.06,0.56,False
The Incredible Hulk,2003,GBA,Action,Universal Interactive,,0.4,0.15,0.0,0.01,0.56,False
Blinx: The Time Sweeper,2002,XB,Platform,Microsoft Game Studios,Artoon,0.39,0.15,0.0,0.02,0.56,False
Odin Sphere,2007,PS2,Role-Playing,Square Enix,Vanilla Ware,0.23,0.18,0.09,0.06,0.56,False
The Legend of Spyro: A New Beginning,2006,"DS, GC",Platform,Vivendi Games,Amaze Entertainment,0.48,0.05,0.0,0.04,0.56,True
DS Bimoji Training,2008,DS,Misc,Nintendo,,0.0,0.0,0.56,0.0,0.56,False
I-Ninja,2003,"GC, PS2, XB",Platform,Namco Bandai Games,Argonaut Games,0.31,0.18999999999999997,0.0,0.05,0.56,True
Rooms: The Main Building,2010,"DS, Wii",Adventure,Hudson Soft,HandMade Game,0.15000000000000002,0.34,0.01,0.05,0.56,True
Petz Wild Animals: Tigerz,2008,DS,Simulation,Ubisoft,Magic Pockets,0.52,0.0,0.0,0.04,0.56,False
Transformers: Devastation,2015,"PC, PS3, PS4, X360, XOne",Action,Activision,PlatinumGames,0.28,0.21000000000000002,0.0,0.07,0.56,True
South Park Rally,1998,"N64, PS",Racing,Acclaim Entertainment,,0.36,0.17,0.0,0.02,0.56,True
DreamWorks Super Star Kartz,2011,"3DS, DS, PS3, Wii, X360",Racing,Activision,Activision,0.35,0.13,0.0,0.05,0.56,True
Resident Evil 2,1999,N64,Action,Virgin Interactive,,0.39,0.09,0.07,0.01,0.56,False
Harry Potter Collection,2006,PS2,Misc,Electronic Arts,Electronic Arts,0.28,0.21,0.0,0.07,0.56,False
Shaun White Skateboarding,2010,"PC, PS3, Wii, X360",Sports,Ubisoft,Ubisoft Montreal,0.33999999999999997,0.16,0.0,0.060000000000000005,0.56,True
Monster Lab,2008,"DS, PS2, Wii",Role-Playing,Eidos Interactive,Backbone Entertainment,0.44,0.07,0.0,0.04,0.56,True
My Spanish Coach,2007,"DS, PSP",Misc,Ubisoft,Ubisoft,0.52,0.0,0.0,0.04,0.56,True
Cabela's Survival: Shadows of Katmai,2011,"PS3, Wii, X360",Sports,Activision,Activision,0.39,0.12,0.0,0.04,0.56,True
Jikkyou Powerful Pro Yakyuu 9,2002,"GC, PS2",Sports,Konami Digital Entertainment,,0.0,0.0,0.55,0.0,0.56,True
Hamtaro: Ham-Hams Unite!,2001,GB,Role-Playing,Nintendo,,0.0,0.0,0.56,0.0,0.56,False
Hyperdimension Neptunia,2010,"PS3, PSV",Role-Playing,Compile Heart,"Idea Factory, Compile Heart",0.27,0.09,0.14,0.05,0.56,True
WWE Raw 2,2003,XB,Fighting,THQ,Anchor,0.43,0.11,0.0,0.02,0.56,False
Barbie Groovy Games,2002,GBA,Misc,Universal Interactive,Digital Illusions,0.4,0.15,0.0,0.01,0.56,False
Remember Me,2013,"PC, PS3, X360",Action,Capcom,DONTNOD Entertainment,0.2,0.28,0.0,0.08,0.56,True
Chessmaster,2002,"GBA, PS2, XB",Misc,Ubisoft,Ubisoft,0.32000000000000006,0.19,0.0,0.05,0.56,True
Yu-Gi-Oh! World Championship Tournament 2004,2004,GBA,Misc,Konami Digital Entertainment,,0.4,0.15,0.0,0.01,0.56,False
Breath of Fire IV,2000,PS,Role-Playing,Capcom,Capcom,0.11,0.08,0.34,0.04,0.56,False
Teenage Mutant Ninja Turtles: Smash-Up,2009,"PS2, Wii",Fighting,Ubisoft,Game Arts,0.44,0.08,0.0,0.06,0.5599999999999999,True
The Terminator: Dawn of Fate,2002,"PS2, XB",Action,Atari,Paradigm Entertainment,0.31,0.19,0.0,0.060000000000000005,0.5599999999999999,True
NCAA March Madness 08,2007,"PS2, PS3, X360",Sports,Electronic Arts,EA Canada,0.41000000000000003,0.1,0.0,0.060000000000000005,0.5599999999999999,True
Outlaw Golf 2,2004,"PS2, XB",Sports,Global Star,Hypnotix,0.32,0.18000000000000002,0.0,0.060000000000000005,0.5599999999999999,True
50 Classic Games,2009,"3DS, DS",Misc,Avanquest Software,Cerasus Media,0.5,0.01,0.0,0.04,0.55,True
Goosebumps HorrorLand,2008,"DS, PS2, Wii",Adventure,Scholastic Inc.,SScholastic Media,0.4799999999999999,0.03,0.0,0.04,0.55,True
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,2001,PS,Shooter,D3Publisher,,0.31,0.21,0.0,0.04,0.55,False
Secret Agent Clank(US sales),2008,PSP,Platform,Sony Computer Entertainment,,0.33,0.22,0.0,0.0,0.55,False
Top Gun: Fire at Will!,1996,PS,Misc,Microprose,,0.3,0.21,0.0,0.04,0.55,False
Activision Anthology,2002,"GBA, PS2",Misc,Activision,Aspyr,0.28,0.2,0.0,0.06,0.55,True
Fighting Force 2,1999,PS,Action,Eidos Interactive,,0.31,0.21,0.0,0.04,0.55,False
Jak X: Combat Racing,2005,PS2,Racing,Sony Computer Entertainment,Naughty Dog,0.45,0.02,0.0,0.07,0.55,False
Contender 2,2000,PS,Fighting,3DO,Bam Entertainment,0.31,0.21,0.0,0.04,0.55,False
No More Heroes,2007,Wii,Action,Rising Star Games,Grasshopper Manufacture,0.29,0.17,0.04,0.05,0.55,False
Rango: The Video Game,2011,"DS, PS3, Wii, X360",Action,Electronic Arts,Behaviour Interactive,0.27,0.22,0.0,0.060000000000000005,0.55,True
SD Gundam G Generation Zero,1999,PS,Strategy,Namco Bandai Games,,0.0,0.0,0.51,0.04,0.55,False
Viva Pinata: Pocket Paradise,2008,DS,Simulation,THQ,Rare Ltd.,0.26,0.23,0.0,0.06,0.55,False
NBA Jam,2003,"PS2, XB",Sports,Acclaim Entertainment,Acclaim,0.30000000000000004,0.19,0.0,0.05,0.55,True
High Rollers Casino,2004,"PS2, XB",Misc,Mud Duck Productions,Virtual Toys,0.30000000000000004,0.19,0.0,0.05,0.55,True
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,2002,PS2,Sports,Sega,,0.0,0.0,0.55,0.0,0.55,False
Press Your Luck 2010 Edition,2009,"DS, Wii",Misc,Ubisoft,Ludia Inc.,0.51,0.0,0.0,0.04,0.55,True
Daytona USA,1994,SAT,Racing,Sega,,0.0,0.0,0.55,0.0,0.55,False
WWF Raw,2002,XB,Fighting,THQ,Anchor,0.4,0.13,0.0,0.02,0.55,False
FlatOut,2004,"PS2, XB",Racing,Empire Interactive,Bugbear,0.31,0.19,0.0,0.060000000000000005,0.55,True
South Park: Chef's Luv Shack,1998,"N64, PS",Misc,Acclaim Entertainment,,0.36,0.16999999999999998,0.0,0.02,0.55,True
The Godfather (old US sales),2006,XB,Action,Electronic Arts,,0.42,0.11,0.0,0.02,0.55,False
Shin Super Robot Taisen,1996,PS,Role-Playing,Banpresto,,0.0,0.0,0.52,0.04,0.55,False
Barbie Horse Adventures: Wild Horse Rescue,2003,"PS2, XB",Sports,Universal Interactive,Blitz Games,0.29,0.2,0.0,0.06,0.55,True
Jump Super Stars,2005,DS,Fighting,Nintendo,,0.0,0.0,0.55,0.0,0.55,False
CrossworDS,2008,DS,Puzzle,Deep Silver,Nuevo Retro Games,0.5,0.0,0.0,0.04,0.55,False
Lips: Number One Hits,2009,X360,Misc,Microsoft Game Studios,iNiS,0.15,0.34,0.0,0.06,0.55,False
Super Robot Taisen F,1997,SAT,Strategy,Banpresto,,0.0,0.0,0.55,0.0,0.55,False
The X-Factor,2010,"PS3, Wii, X360",Misc,Deep Silver,,0.0,0.46,0.0,0.08,0.55,True
Derby Stallion 04,2004,PS2,Sports,Enterbrain,,0.0,0.0,0.55,0.0,0.55,False
Donkey Kong Jungle Climber,2007,DS,Platform,Nintendo,,0.25,0.03,0.24,0.03,0.55,False
Metal Gear Solid 3: Subsistence,2005,PS2,Action,Konami Digital Entertainment,Aspect,0.34,0.01,0.15,0.06,0.55,False
God of War: Origins Collection,2011,PS3,Action,Sony Computer Entertainment,Ready at Dawn,0.39,0.08,0.02,0.06,0.55,False
Soul Reaver 2,2001,PS2,Action,Eidos Interactive,Crystal Dynamics,0.27,0.21,0.0,0.07,0.55,False
Extermination,2001,PS2,Action,Sony Computer Entertainment,Deep Space,0.21,0.16,0.12,0.05,0.55,False
Mega Man Zero,2002,GBA,Platform,Capcom,Inti,0.22,0.08,0.24,0.01,0.55,False
Marvel Super Hero Squad: Comic Combat,2011,"PS3, Wii, X360",Action,THQ,THQ,0.38,0.12,0.0,0.05,0.55,True
Ratchet & Clank: Quest for Booty,2008,PS3,Platform,Sony Computer Entertainment,,0.0,0.52,0.0,0.04,0.55,False
The Activision Decathlon,1982,2600,Sports,Activision,,0.52,0.03,0.0,0.01,0.55,False
The Chronicles of Riddick: Assault on Dark Athena,2009,"PC, PS3, X360",Shooter,Vivendi Games,Starbreeze,0.28,0.2,0.0,0.07,0.55,True
Pro Yaky? Spirits 2010,2010,"PS2, PS3, PSP",Sports,Konami Digital Entertainment,,0.0,0.0,0.5499999999999999,0.0,0.5499999999999999,True
Disney's The Haunted Mansion,2003,"GC, PS2, XB",Platform,Take-Two Interactive,,0.33,0.18,0.0,0.05,0.5499999999999999,True
Dance Dance Revolution Ultramix,2003,XB,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.42,0.11,0.0,0.02,0.54,False
Time Crisis: Razing Storm,2010,PS3,Shooter,Namco Bandai Games,Nex Entertainment,0.18,0.2,0.07,0.08,0.54,False
F.E.A.R.,2007,PS3,Shooter,Vivendi Games,Day 1 Studios,0.18,0.26,0.0,0.1,0.54,False
Pachi-Slot Aruze Oukoku 2,1999,PS,Misc,Aruze Corp,,0.0,0.0,0.5,0.04,0.54,False
ZhuZhu Pets 2: Featuring The Wild Bunch,2010,DS,Simulation,Activision,Activision,0.4,0.1,0.0,0.04,0.54,False
Van Helsing,2004,"GBA, PS2",Action,Activision,Saffire,0.29000000000000004,0.2,0.0,0.06,0.54,True
Let's Draw!,2008,DS,Misc,Ubisoft,,0.24,0.23,0.0,0.06,0.54,False
Kidou Senshi Gundam: Extreme VS,2011,PS3,Fighting,Namco Bandai Games,,0.0,0.0,0.54,0.0,0.54,False
Castlevania: Curse of Darkness,2005,"PS2, XB",Action,Konami Digital Entertainment,Konami,0.27,0.17,0.05,0.05,0.54,True
The Fairly Odd Parents: Breakin' Da Rules,2003,GBA,Platform,THQ,,0.39,0.14,0.0,0.01,0.54,False
Petz Nursery,2009,DS,Simulation,Ubisoft,Digital Kids,0.5,0.0,0.0,0.04,0.54,False
Fire Emblem: Path of Radiance,2005,GC,Action,Nintendo,Intelligent Systems,0.29,0.08,0.16,0.01,0.54,False
War of the Monsters,2003,PS2,Fighting,Sony Computer Entertainment,Incognito Inc.,0.26,0.2,0.0,0.07,0.54,False
Action Force,1982,2600,Action,CPG Products,,0.5,0.03,0.0,0.01,0.54,False
NARC,2005,"PS2, XB",Shooter,Midway Games,Point of View,0.32,0.18000000000000002,0.0,0.060000000000000005,0.54,True
Gekikuukan Pro Yakyuu: At the End of the Century 1999,2000,PS2,Sports,SquareSoft,,0.0,0.0,0.54,0.0,0.54,False
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,2002,PS2,Role-Playing,Enix Corporation,,0.0,0.0,0.54,0.0,0.54,False
Bust A Groove,1998,PS,Misc,Sony Computer Entertainment,,0.09,0.06,0.35,0.04,0.54,False
ESPN X Games Skateboarding,2001,"GBA, PS2",Sports,Konami Digital Entertainment,KCEO,0.31,0.19,0.0,0.05,0.54,True
Ninokuni: Shikkoku no Madoushi,2010,DS,Role-Playing,Level 5,,0.0,0.0,0.54,0.0,0.54,False
FIFA 99,1998,N64,Sports,Electronic Arts,,0.11,0.39,0.0,0.03,0.54,False
World Soccer Winning Eleven 7 International (JP version),2004,PS2,Sports,Konami Digital Entertainment,,0.0,0.0,0.54,0.0,0.54,False
Momotarou Dentetsu 11,2002,"GC, PS2",Misc,Hudson Soft,,0.0,0.0,0.53,0.0,0.54,True
Final Fantasy Explorers,2014,3DS,Role-Playing,Square Enix,Racjin,0.16,0.07,0.28,0.02,0.54,False
Front Mission 4,2003,PS2,Strategy,Square Enix,Square Enix,0.14,0.11,0.25,0.04,0.54,False
Medarot 2: Kabuto / Kuwagata Version,1999,GB,Role-Playing,Imagineer,,0.0,0.0,0.54,0.0,0.54,False
SingStar Summer Party,2008,PS2,Misc,Sony Computer Entertainment,,0.0,0.06,0.0,0.48,0.54,False
F1 2016 (Codemasters),2016,"PC, PS4, XOne",Racing,Codemasters,,0.06,0.4,0.01,0.060000000000000005,0.54,True
Front Mission Evolved,2010,"PC, PS3, X360",Shooter,Square Enix,Double Helix Games,0.24,0.13,0.13,0.05,0.54,True
Spy Hunter,2002,"GC, XB",Racing,Midway Games,Point of View,0.41000000000000003,0.11000000000000001,0.0,0.02,0.54,True
Hotel Dusk: Room 215,2007,DS,Adventure,Nintendo,Cing,0.26,0.04,0.22,0.03,0.54,False
Dragon Ball Z: Shin Budokai,2006,PSP,Fighting,Atari,Dimps Corporation,0.26,0.08,0.13,0.07,0.54,False
Greg Hastings' Tournament Paintball,2004,XB,Shooter,Activision,WXP,0.46,0.06,0.0,0.02,0.54,False
Petz Catz Clan,2008,DS,Simulation,Ubisoft,Digital Kids,0.47,0.03,0.0,0.04,0.54,False
World of Final Fantasy,2016,"PS4, PSV",Role-Playing,Square Enix,Square Enix,0.12,0.2,0.16,0.07,0.54,True
Army of Two: The Devil's Cartel,2013,"PS3, X360",Shooter,Electronic Arts,Visceral Games,0.27,0.18,0.01,0.07,0.54,True
Atelier Rorona: Alchemist of Arland,2009,"PS3, PSV",Role-Playing,Nippon Ichi Software,,0.22,0.1,0.16,0.05,0.53,True
Jewel Master Egypt,2009,DS,Puzzle,Rondomedia,Storm City Games,0.21,0.27,0.0,0.05,0.53,False
Medal of Honor: European Assault,2005,XB,Shooter,Electronic Arts,EA LA,0.32,0.19,0.0,0.02,0.53,False
Jikkyou Powerful Pro Yakyuu 12,2005,"GC, PS2",Sports,Konami Digital Entertainment,,0.0,0.0,0.53,0.0,0.53,True
Darkwatch,2005,"PS2, XB",Shooter,Ubisoft,High Moon Studios,0.32,0.16999999999999998,0.0,0.05,0.53,True
Hello Kitty: Big City Dreams,2008,DS,Puzzle,Empire Interactive,Human Soft,0.42,0.07,0.0,0.04,0.53,False
Monster House,2006,"DS, GBA, GC, PS2",Adventure,THQ,Artificial Mind and Movement,0.38,0.1,0.0,0.03,0.53,True
Are You Smarter Than A 5th Grader?,2007,DS,Misc,Mindscape,ValuSoft,0.48,0.0,0.0,0.04,0.53,False
007 Racing,2000,PS,Racing,Electronic Arts,Eutechnyx,0.3,0.2,0.0,0.03,0.53,False
Phoenix Wright: Ace Attorney - Justice for All,2006,DS,Adventure,Capcom,,0.21,0.04,0.26,0.03,0.53,False
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004,XB,Misc,Sega,,0.4,0.11,0.0,0.02,0.53,False
Toukiden: The Age of Demons,2013,"PSP, PSV",Action,Tecmo Koei,Omega Force,0.04,0.04,0.43,0.02,0.53,True
Despicable Me: The Game,2010,"PS2, PSP, Wii",Platform,D3Publisher,,0.26,0.2,0.0,0.060000000000000005,0.53,True
The Polar Express,2004,"GBA, GC, PS2",Adventure,THQ,Blue Tongue,0.33,0.16,0.0,0.03,0.53,True
Tactics Ogre: Let Us Cling Together,2010,PSP,Role-Playing,Square Enix,Square Enix,0.15,0.07,0.27,0.05,0.53,False
Front Mission 2,1997,PS,Strategy,SquareSoft,,0.0,0.0,0.49,0.03,0.53,False
Pachi-Slot Aruze Oukoku 4,2000,PS,Misc,Aruze Corp,,0.0,0.0,0.49,0.03,0.53,False
Blitz: The League,2004,XB,Sports,Midway Games,Midway,0.4,0.11,0.0,0.02,0.53,False
Turning Point: Fall of Liberty,2008,"PS3, X360",Shooter,Codemasters,Spark Unlimited,0.44,0.05,0.0,0.04,0.53,True
BioShock The Collection,2016,"PS4, XOne",Shooter,Take-Two Interactive,2K Games,0.18,0.25,0.02,0.06999999999999999,0.53,True
SpongeBob SquarePants: Game Boy Advance Video Volume 2,2004,GBA,Misc,,,0.38,0.14,0.0,0.01,0.53,False
Summer Sports: Paradise Island,2008,Wii,Sports,Ubisoft,Destineer,0.48,0.01,0.0,0.04,0.53,False
Valkyria Chronicles II,2010,PSP,Role-Playing,Sega,Sega,0.12,0.15,0.18,0.09,0.53,False
Supreme Commander 2,2010,"PC, X360",Strategy,Square Enix,Gas Powered Games,0.23,0.24,0.0,0.07,0.53,True
Excite Truck,2006,Wii,Racing,Nintendo,Monster Games Inc.,0.39,0.03,0.08,0.04,0.53,False
Conan,2007,"PS3, X360",Action,THQ,Nihilistic,0.29000000000000004,0.16999999999999998,0.0,0.060000000000000005,0.53,True
Homefront: The Revolution,2016,"PC, PS4, XOne",Shooter,Deep Silver,Deep Silver Dambuster Studios,0.13,0.30000000000000004,0.03,0.060000000000000005,0.53,True
Wayne Gretzky's 3D Hockey,1996,N64,Sports,Nintendo,,0.49,0.03,0.0,0.0,0.53,False
Inazuma Eleven,2008,DS,Role-Playing,Nintendo,,0.0,0.13,0.38,0.02,0.53,False
Time Crisis II,2001,PS2,Shooter,Namco Bandai Games,Namco,0.26,0.2,0.0,0.07,0.53,False
Cabela's Dangerous Hunts 2,2005,"GC, PS2, XB",Sports,Activision,Sand Grain Studios,0.30000000000000004,0.18,0.0,0.05,0.53,True
StarCraft II: Legacy of the Void,2015,PC,Strategy,Activision,Blizzard Entertainment,0.19,0.29,0.0,0.04,0.53,False
Inazuma Eleven GO,2011,3DS,Role-Playing,Nintendo,,0.0,0.05,0.48,0.0,0.53,False
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",1998,SAT,Adventure,Sega,,0.0,0.0,0.53,0.0,0.53,False
Oni,2001,PS2,Action,Take-Two Interactive,Rockstar Toronto,0.26,0.2,0.0,0.07,0.53,False
Jikkyou Powerful Pro Yakyuu 2013,2013,"PS3, PSP, PSV",Sports,Konami Digital Entertainment,,0.0,0.0,0.53,0.0,0.53,True
Star Fox Command,2006,DS,Shooter,Nintendo,Q-Games,0.38,0.01,0.1,0.04,0.53,False
Clive Barker's Jericho,2007,"PC, PS3, X360",Shooter,Codemasters,"Mercury Steam, Alchemic Productions",0.45000000000000007,0.03,0.0,0.04,0.53,True
Rune Factory: A Fantasy Harvest Moon,2006,DS,Role-Playing,Rising Star Games,Neverland,0.35,0.01,0.14,0.03,0.53,False
Magician's Quest: Mysterious Times,2008,DS,Role-Playing,Konami Digital Entertainment,Konami,0.04,0.01,0.48,0.0,0.53,False
Jampack Volume 11,2004,PS2,Misc,Sony Computer Entertainment,,0.26,0.2,0.0,0.07,0.53,False
Winning Post,1993,SNES,Sports,Tecmo Koei,,0.0,0.0,0.53,0.0,0.53,False
Clock Tower,1996,PS,Adventure,ASCII Entertainment,,0.07,0.05,0.38,0.03,0.53,False
J-League Soccer: Prime Goal 2,1994,SNES,Sports,Namco Bandai Games,,0.0,0.0,0.53,0.0,0.53,False
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Wii,Fighting,Capcom,Eighting,0.3,0.15,0.03,0.05,0.53,False
Jampack Vol. 2,1996,PS,Misc,Sony Computer Entertainment,,0.3,0.2,0.0,0.03,0.53,False
Virtual Soccer,1993,SNES,Sports,Hudson Soft,,0.0,0.0,0.53,0.0,0.53,False
Return to Castle Wolfenstein: Operation Resurrection,2003,PS2,Shooter,Activision,Raster,0.26,0.2,0.0,0.07,0.53,False
Attack on Titan (KOEI),2016,"PS3, PS4, PSV, XOne",Action,Tecmo Koei,,0.06,0.14,0.3,0.03,0.53,True
Reign of Fire,2002,"GBA, GC, PS2, XB",Shooter,BAM! Entertainment,Kuju Entertainment,0.31000000000000005,0.15000000000000002,0.0,0.03,0.53,True
Syphon Filter: Logan's Shadow,2007,"PS2, PSP",Shooter,Sony Computer Entertainment,Sony Bend,0.28,0.13999999999999999,0.0,0.09999999999999999,0.52,True
From TV Animation One Piece: Grand Battle! 3,2003,"GC, PS2",Fighting,Namco Bandai Games,,0.0,0.0,0.52,0.01,0.52,True
Rival Schools: United By Fate,1998,PS,Fighting,Capcom,,0.12,0.08,0.28,0.03,0.52,False
That's So Raven 2: Supernatural Style,2005,GBA,Adventure,Disney Interactive Studios,Artificial Mind and Movement,0.37,0.14,0.0,0.01,0.52,False
Sherlock Holmes: Crimes & Punishments,2014,"PC, PS3, PS4, X360, XOne",Adventure,Focus Home Interactive,,0.18,0.28,0.0,0.060000000000000005,0.52,True
SingStar Dance,2010,PS3,Misc,Sony Computer Entertainment,SCEE London Studio,0.09,0.31,0.0,0.11,0.52,False
Front Mission 3,1999,PS,Strategy,SquareSoft,,0.1,0.07,0.31,0.03,0.52,False
God Eater 2: Rage Burst,2015,"PS4, PSV",Role-Playing,Namco Bandai Games,Shift,0.0,0.04,0.45999999999999996,0.01,0.52,True
Shadow Man,1998,"N64, PS",Action,Acclaim Entertainment,,0.32,0.16999999999999998,0.0,0.03,0.52,True
The Powerpuff Girls: Relish Rampage,2002,"GC, PS2",Action,BAM! Entertainment,VIS Entertainment,0.27,0.18000000000000002,0.0,0.06,0.52,True
We Love Katamari,2005,PS2,Puzzle,Electronic Arts,Namco,0.26,0.2,0.0,0.07,0.52,False
DiRT Rally,2016,"PC, PS4, XOne",Racing,Codemasters,Codemasters,0.08,0.38,0.0,0.060000000000000005,0.52,True
Syphon Filter 3,2001,PS,Shooter,Sony Computer Entertainment,Sony Bend,0.29,0.2,0.0,0.03,0.52,False
Farming Simulator 2013,2013,"PS3, X360",Simulation,Focus Home Interactive,Giants Software,0.22,0.22,0.02,0.06,0.52,True
Sesame Street: Once Upon A Monster,2011,X360,Misc,Warner Bros. Interactive Entertainment,Double Fine Productions,0.39,0.09,0.0,0.04,0.52,False
Silent Hill: Origins,2007,PSP,Action,Konami Digital Entertainment,"Climax Group, Climax Studios",0.22,0.15,0.04,0.1,0.52,False
Tales of Destiny,2006,PS2,Role-Playing,Namco Bandai Games,,0.0,0.0,0.52,0.0,0.52,False
Mega Man 6,1993,NES,Platform,Capcom,,0.28,0.07,0.16,0.01,0.52,False
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,2010,DS,Simulation,Electronic Arts,,0.49,0.0,0.0,0.03,0.52,False
We Cheer,2008,Wii,Simulation,505 Games,"Machatin, Inc.",0.47,0.0,0.0,0.04,0.52,False
Rune Factory 2: A Fantasy Harvest Moon,2008,DS,Role-Playing,Rising Star Games,Neverland,0.32,0.03,0.15,0.03,0.52,False
Seaman,1999,DC,Simulation,Sega,Vivarium,0.0,0.0,0.52,0.0,0.52,False
Jampack Winter 2002,2002,PS2,Misc,Sony Computer Entertainment,,0.25,0.2,0.0,0.07,0.52,False
Kirby and the Rainbow Curse,2015,WiiU,Platform,Nintendo,HAL Labs,0.22,0.13,0.12,0.04,0.52,False
The Grinch,1999,PS,Adventure,Konami Digital Entertainment,VU Games,0.29,0.2,0.0,0.03,0.52,False
Omega Boost,1999,PS,Shooter,Sony Computer Entertainment,,0.17,0.11,0.2,0.03,0.52,False
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,2006,DS,Misc,Nintendo,,0.0,0.0,0.52,0.0,0.52,False
Final Fantasy Chronicles,2001,PS,Role-Playing,Square,TOSE,0.29,0.2,0.0,0.03,0.52,False
Disgaea 3: Absence of Justice,2008,PS3,Role-Playing,Square Enix,Nippon Ichi Software,0.33,0.03,0.11,0.04,0.52,False
Karaoke Revolution Presents American Idol Encore 2,2008,"PS3, Wii, X360",Misc,Konami Digital Entertainment,Blitz Games,0.49,0.0,0.0,0.04,0.52,True
Hunted: The Demon's Forge,2011,"PC, PS3, X360",Action,Bethesda Softworks,InXile Entertainment,0.28,0.15000000000000002,0.02,0.05,0.52,True
The Sims 2: Open for Business,2006,PC,Simulation,Electronic Arts,Maxis,0.46,0.05,0.0,0.0,0.52,False
Tales of Symphonia: Dawn of the New World,2008,Wii,Role-Playing,Namco Bandai Games,Bandai Namco Games,0.21,0.04,0.24,0.02,0.52,False
Petz: Hamsterz Life 2,2007,"DS, GBA",Misc,Ubisoft,,0.48,0.0,0.0,0.04,0.52,True
Go Diego Go! Safari Rescue,2008,Wii,Action,Take-Two Interactive,,0.47,0.0,0.0,0.04,0.52,False
Binary Domain,2012,"PS3, X360",Action,Sega,Sega,0.18,0.13,0.16,0.05,0.52,True
Power Rangers: Time Force,2001,"GBA, PS",Action,THQ,,0.32,0.16999999999999998,0.0,0.02,0.52,True
Mario Tennis: Power Tour,2005,GBA,Sports,Nintendo,Camelot Software Planning,0.24,0.09,0.19,0.01,0.52,False
GT Pro Series,2006,Wii,Racing,Ubisoft,MTO,0.46,0.01,0.02,0.04,0.52,False
